VB564       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB572       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB616       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB676       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB761       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB765       0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VB 818      0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          01/03/202331/03/2023                                                                                                                                                                                                                                                                                                                                                                                                          
VM564          1052              5.00
VM564          1014              8.13
VM564          1050              5.00
VM572          1012             10.48
VM616          1012             13.03
VM616          1014              8.14
VM676          1012             32.00
VM676          1013             20.53
VM761          1052              4.00
VM761          1012              8.00
VM761          1013              8.48
VM761          1050              4.00
VM765          1012             31.16
VM765          1013             31.53
VM 818         1012             11.01
VM 818         1013              4.30
